File name,Time,Best primal bound,Active columns in best primal sol,Total columns generated,Solved to optimality
RKP_WC_n30_R1000_H100_h40_dev0.15_d1,23.3813,5281.74,10,3441,1
RKP_WC_n30_R1000_H100_h40_dev0.1_d0.1,858.632,5117.76,7,19019,1
RKP_WC_n30_R1000_H100_h40_dev0.1_d0.5,101.062,4686.03,7,7046,1
RKP_WC_n30_R1000_H100_h40_dev0.1_d1,2.46709,5444.96,6,621,1
RKP_WC_n30_R1000_H100_h40_dev0.2_d0.1,494.12,4824,1,17822,1
RKP_WC_n30_R1000_H100_h40_dev0.2_d0.5,26.5935,5205,1,3586,1
RKP_WC_n30_R1000_H100_h40_dev0.2_d1,2.49778,5636,1,710,1
RKP_WC_n30_R1000_H100_h80_dev0.15_d0.1,493.892,11229.9,11,12832,1
RKP_WC_n30_R1000_H100_h80_dev0.15_d0.5,52.8859,10569.1,12,4592,1
RKP_WC_n30_R1000_H100_h80_dev0.15_d1,31.1657,9099.41,9,2977,1
RKP_WC_n30_R1000_H100_h80_dev0.1_d0.1,123.4,11651.6,8,5447,1
RKP_WC_n30_R1000_H100_h80_dev0.1_d0.5,11.4372,11721.6,7,1360,1
RKP_WC_n30_R1000_H100_h80_dev0.1_d1,78.4812,11030.4,9,4353,1
RKP_WC_n30_R1000_H100_h80_dev0.2_d0.1,2699.22,9820.73,14,31701,1
RKP_WC_n30_R1000_H100_h80_dev0.2_d0.5,1216.92,12832.6,14,21723,1
RKP_WC_n30_R1000_H100_h80_dev0.2_d1,155.012,11066.2,16,7540,1
RKP_ASC_n40_R1000_H100_h40_dev0.15_d0.1,TIME_LIMIT,8744.81,12,67816,0
RKP_ASC_n40_R1000_H100_h40_dev0.15_d0.5,TIME_LIMIT,9015,1,67479,0
RKP_ASC_n40_R1000_H100_h40_dev0.15_d1,TIME_LIMIT,8463.78,11,58990,0
RKP_ASC_n40_R1000_H100_h40_dev0.1_d0.1,TIME_LIMIT,8699,1,51581,0
RKP_ASC_n40_R1000_H100_h40_dev0.1_d0.5,4686.55,8982.38,6,30567,1
RKP_ASC_n40_R1000_H100_h40_dev0.1_d1,648.126,8577.81,10,11466,1
RKP_ASC_n40_R1000_H100_h40_dev0.2_d0.1,TIME_LIMIT,7761.08,15,68950,0
RKP_ASC_n40_R1000_H100_h40_dev0.2_d0.5,TIME_LIMIT,8140,1,63998,0
RKP_ASC_n40_R1000_H100_h40_dev0.2_d1,5591.48,8310.23,14,36492,1
RKP_ASC_n40_R1000_H100_h80_dev0.15_d0.1,1679.38,16757,10,22711,1
